N,P,K,temperature,humidity,ph,rainfall,label
25,10,43,30.7,47.82,5.61,102.85,pomegranate
71,76,53,34.9,63.08,6.08,185.56,papaya
35,68,37,23.36,39.71,6.5,73.01,kidneybeans
75,51,59,24.45,92.97,6.72,271.1,jute
28,19,50,20.82,47.43,6.46,85.22,pomegranate
36,54,18,31.9,67.8,7.02,59.9,mungbean
43,48,66,33.11,67.58,6.49,153.71,papaya
40,65,29,21.64,23.57,6.66,73.57,kidneybeans
11,50,15,32.87,30.73,6.08,59.42,mothbeans
19,22,54,26.88,80.67,7.46,267.59,coconut
15,58,28,26.65,32.71,7.44,36.27,lentil
31,19,26,22.87,61.91,6.03,103.71,pomegranate
43,30,23,29.11,72.83,6.73,163.22,mango
13,52,27,27.06,34.28,6.9,53.25,lentil
29,54,29,26.26,41.59,6.48,60.68,blackgram
94,65,52,30.37,74.73,7.3,201.13,banana
102,47,62,29.85,74.27,7.06,52.9,watermelon
116,78,39,27.92,84.81,7.17,106.55,banana
112,47,62,34.38,65.83,6.58,67.66,watermelon
23,13,43,18.39,79.19,5.35,168.66,orange
61,38,35,19.61,71.32,5.98,65.97,maize
11,47,17,22.81,35.52,7.55,71.14,lentil
94,85,53,34.23,82.09,6.48,117.96,banana
44,57,37,22.12,29.38,5.93,70.16,kidneybeans
50,73,65,33.87,66.96,6.18,100.61,papaya
23,56,15,28.08,39.65,6.35,44.09,mungbean
34,26,45,26.45,75.44,6.15,244.27,coconut
107,35,21,25.06,57.66,7.8,137.92,cotton
14,20,34,33.51,67.55,6.27,84.42,pomegranate
48,62,58,33.41,63.0,6.39,175.18,papaya
73,54,18,18.68,73.2,6.49,101.3,maize
125,38,35,34.89,60.94,7.21,73.73,cotton
20,131,143,17.68,87.35,6.05,106.83,apple
33,120,111,32.16,59.27,6.82,78.32,grapes
81,43,35,27.39,76.97,6.29,169.78,jute
69,41,47,33.88,73.74,7.15,193.7,jute
109,44,69,33.03,56.13,5.87,47.54,watermelon
94,20,20,19.87,74.67,6.6,193.97,coffee
25,35,16,34.77,39.69,7.33,91.95,blackgram
48,38,35,34.46,40.89,6.11,172.11,mango
114,62,17,34.74,63.49,5.96,117.91,cotton
91,40,35,26.52,89.14,6.46,265.69,rice
30,22,12,28.98,73.75,6.18,169.98,orange
19,131,131,26.29,53.44,7.49,71.28,grapes
43,45,40,29.85,37.17,7.78,73.02,blackgram
29,49,33,30.58,68.39,6.07,45.88,mungbean
83,55,61,32.71,67.49,7.32,96.52,watermelon
83,46,37,25.36,63.55,6.02,82.78,maize
21,38,23,19.19,43.69,6.89,70.01,lentil
33,67,26,22.25,35.78,6.39,95.13,kidneybeans
27,117,129,16.68,51.57,6.01,53.71,grapes
61,38,36,25.09,81.29,6.02,286.13,rice
27,18,13,18.7,54.04,5.18,156.06,orange
32,62,33,21.86,34.12,7.63,78.72,chickpea
17,102,133,20.78,74.27,7.1,72.85,grapes
76,59,64,27.37,58.66,7.41,71.28,muskmelon
25,122,150,22.94,68.42,6.34,206.31,apple
26,58,25,29.4,41.07,6.79,73.17,lentil
21,55,22,25.87,39.49,7.69,69.8,mothbeans
19,45,28,31.82,31.03,6.27,61.62,mothbeans
65,53,38,19.62,60.94,7.44,70.86,maize
30,72,21,22.31,39.08,7.12,87.47,chickpea
12,27,30,22.67,43.38,6.34,67.58,pomegranate
88,57,68,25.62,79.13,7.39,93.07,watermelon
23,35,34,20.69,70.34,6.26,119.86,orange
22,39,28,34.71,39.68,7.43,33.42,mothbeans
84,48,21,19.59,60.51,5.87,106.78,maize
29,58,19,29.37,42.51,7.4,63.39,pigeonpeas
33,14,38,26.09,36.44,6.19,68.57,pomegranate
31,62,29,27.59,29.69,6.45,117.31,pigeonpeas
20,113,139,15.39,70.14,6.55,94.93,grapes
15,39,32,25.42,34.67,6.34,73.97,mothbeans
37,57,16,24.7,43.57,6.68,109.57,kidneybeans
20,49,32,27.02,52.71,7.38,71.16,mothbeans
84,33,17,22.96,74.18,5.62,233.15,coffee
25,121,171,16.66,64.49,6.37,198.62,apple
130,38,26,22.23,46.01,6.71,79.82,cotton
28,49,32,29.9,29.91,7.38,65.34,lentil
100,41,40,29.79,83.43,6.38,265.78,jute
102,56,68,28.21,88.24,5.54,130.78,banana
13,113,115,23.56,69.75,6.03,50.6,grapes
37,39,16,32.17,49.02,7.27,63.0,mungbean
45,62,64,31.17,80.41,6.44,133.03,papaya
74,37,38,19.23,78.76,6.39,71.11,maize
69,44,41,30.37,89.95,7.07,204.68,jute
89,59,63,34.85,55.41,7.03,60.33,watermelon
28,49,38,29.93,45.92,6.93,96.94,pigeonpeas
44,46,27,28.55,57.3,7.32,85.77,blackgram
17,47,28,33.29,61.34,6.42,96.45,mungbean
44,51,26,18.32,23.26,7.51,70.78,chickpea
19,52,33,22.97,44.22,6.83,73.02,pigeonpeas
62,42,55,25.99,78.69,5.42,205.57,rice
61,47,56,33.85,93.91,7.26,237.01,jute
87,41,50,26.83,78.34,6.38,229.38,jute
98,54,19,25.82,67.19,7.29,107.99,maize
36,16,48,22.79,65.41,6.77,138.77,orange
100,39,42,34.76,78.71,6.09,52.16,muskmelon
38,132,160,19.39,82.38,5.81,155.66,apple
73,58,64,25.48,79.38,7.48,104.91,papaya
43,35,29,32.41,49.4,6.17,98.62,blackgram
83,58,48,29.8,65.52,7.35,72.94,watermelon
43,50,32,17.07,21.17,7.45,89.67,chickpea
11,21,46,21.84,59.56,5.76,141.23,orange
23,30,34,20.87,44.18,6.37,60.98,pomegranate
51,76,62,27.37,62.18,7.07,170.29,papaya
19,131,147,22.9,79.69,6.41,161.77,apple
44,47,32,21.46,29.69,6.45,95.19,kidneybeans
17,60,32,18.8,29.6,6.18,78.45,kidneybeans
108,56,51,27.74,68.62,7.28,69.77,watermelon
90,16,40,21.4,69.36,6.81,196.06,coffee
58,27,42,25.05,48.02,6.33,100.62,mango
27,17,48,33.68,42.33,5.58,101.89,pomegranate
37,37,30,32.4,38.44,7.68,51.52,blackgram
110,43,31,31.91,71.29,7.63,146.49,cotton
22,46,18,20.37,40.06,6.36,85.63,kidneybeans
26,28,47,25.38,87.07,6.35,238.73,coconut
72,43,53,25.1,92.74,5.94,167.94,rice
14,56,26,27.15,46.41,6.42,60.6,lentil
99,54,18,24.82,55.61,5.54,79.42,maize
26,49,35,23.2,31.1,7.06,51.68,chickpea
103,49,50,29.71,74.56,6.19,72.88,muskmelon
14,29,48,31.95,63.13,6.5,165.63,orange
19,21,44,25.43,53.35,6.84,68.86,pomegranate
40,51,24,17.79,31.51,7.53,60.6,chickpea
14,39,23,29.12,46.31,6.84,58.28,lentil
89,42,29,22.28,71.59,7.37,103.95,maize
41,62,30,24.25,24.63,5.62,71.98,kidneybeans
32,5,44,30.35,76.66,6.71,250.34,coconut
107,39,53,28.45,64.94,6.69,55.94,muskmelon
109,64,50,25.9,50.08,6.4,61.15,watermelon
25,43,26,28.25,21.37,6.54,30.32,mothbeans
69,36,22,23.36,56.29,6.49,95.81,maize
67,58,30,21.61,66.55,7.39,69.2,maize
12,46,20,28.43,49.21,7.87,39.29,mothbeans
39,59,35,18.34,33.42,7.73,58.67,chickpea
43,50,23,32.37,31.47,6.95,66.82,blackgram
84,16,34,22.25,89.87,5.19,231.23,coffee
46,67,64,25.83,60.41,6.12,139.17,papaya
33,64,28,22.44,21.77,5.88,78.09,kidneybeans
98,37,53,30.59,55.62,6.67,60.05,muskmelon
36,25,19,20.38,50.01,6.8,91.11,orange
40,53,25,29.73,64.18,6.68,93.48,blackgram
13,51,20,26.61,48.3,7.35,62.65,lentil
83,46,33,22.38,76.84,7.3,85.3,maize
22,52,19,31.42,29.09,7.77,74.78,mothbeans
22,21,45,22.58,63.27,6.89,88.91,pomegranate
24,42,17,26.67,25.15,7.95,67.96,mothbeans
89,61,63,29.01,70.94,6.28,49.59,watermelon
111,56,58,26.21,58.62,5.82,54.96,watermelon
25,48,33,26.96,30.9,7.29,74.63,mungbean
66,42,44,23.65,90.7,5.4,227.14,rice
70,53,55,33.73,52.52,7.02,64.01,muskmelon
32,46,15,28.68,41.07,7.17,125.71,pigeonpeas
92,43,37,25.47,83.8,5.24,224.28,rice
80,42,58,29.04,73.19,6.37,169.06,jute
17,45,31,33.24,33.46,6.92,45.16,mothbeans
28,47,22,24.15,19.8,6.65,59.07,chickpea
74,55,58,27.74,87.7,6.61,138.4,banana
11,51,26,26.03,26.04,7.14,44.82,mothbeans
31,47,21,18.08,39.08,7.1,88.63,chickpea
27,46,34,23.43,29.28,6.78,77.83,lentil
120,63,66,31.16,75.69,5.72,60.86,watermelon
32,37,25,31.2,51.33,5.5,92.69,mango
94,25,24,26.26,73.56,6.05,247.72,coffee
62,51,50,23.78,85.47,6.92,118.65,papaya
19,41,33,22.02,53.57,7.07,63.42,lentil
48,71,78,31.32,86.44,6.96,138.77,papaya
84,70,68,24.86,78.0,6.23,90.68,watermelon
37,63,37,23.44,21.75,7.65,69.93,chickpea
28,51,25,26.2,42.48,7.2,91.69,mungbean
77,45,62,32.57,70.01,6.35,59.4,muskmelon
31,55,39,18.78,30.56,5.56,97.0,kidneybeans
25,36,20,34.56,68.15,6.53,42.59,mungbean
67,54,49,26.87,68.16,6.13,183.01,papaya
39,52,25,21.96,48.59,6.97,90.75,pigeonpeas
39,49,25,25.85,39.21,6.76,60.36,mothbeans
90,51,58,32.61,74.52,7.1,246.26,jute
29,50,19,31.26,52.86,6.28,43.58,mungbean
89,56,57,34.39,55.87,6.78,89.04,watermelon
28,136,166,23.5,58.26,6.03,76.81,grapes
42,66,45,18.03,17.6,7.45,73.14,chickpea
98,62,51,24.21,53.02,6.49,81.4,watermelon
60,25,26,26.65,77.45,6.54,116.48,mango
22,15,25,30.2,62.71,7.38,174.63,orange
36,27,39,30.56,81.56,5.82,175.25,orange
90,50,59,23.0,80.71,6.74,183.54,rice
62,50,52,20.13,85.24,5.45,246.78,rice
23,126,107,29.37,56.41,5.89,70.64,grapes
70,47,21,26.89,78.6,5.58,102.33,maize
19,52,20,26.91,26.46,6.68,51.5,mothbeans
13,53,19,20.82,39.83,7.83,44.53,lentil
116,37,28,26.5,65.17,7.88,98.56,cotton
79,52,39,21.54,75.82,5.34,191.79,rice
12,157,151,23.77,80.28,6.04,176.9,apple
18,19,15,30.11,67.27,6.43,136.94,orange
36,137,101,28.9,62.54,6.63,82.45,grapes
16,57,23,30.78,51.64,6.15,132.08,pigeonpeas
26,20,44,24.79,77.97,5.6,209.35,coconut
81,38,58,33.84,74.75,6.19,242.02,jute
34,14,14,30.91,76.29,6.47,156.92,orange
27,31,39,27.33,80.48,7.18,137.89,orange
37,66,34,19.0,38.84,6.65,92.93,kidneybeans
130,61,23,27.11,55.7,7.58,54.43,cotton
84,58,49,25.76,66.34,6.56,44.55,watermelon
109,81,43,34.14,84.81,6.26,175.29,banana
93,57,44,29.6,73.69,6.72,184.86,banana
93,62,64,31.23,59.45,6.81,34.56,muskmelon
17,11,25,19.98,74.86,6.65,84.4,orange
13,120,130,19.29,67.55,6.39,51.71,grapes
19,56,26,26.89,58.82,6.77,76.26,mungbean
27,47,24,18.78,40.21,6.92,63.62,kidneybeans
16,104,126,17.87,71.3,6.57,57.19,grapes
65,59,50,21.83,88.43,6.24,203.72,rice
70,37,57,27.2,87.66,5.68,202.38,rice
49,44,79,25.85,86.13,6.01,102.1,papaya
18,39,23,33.01,33.72,7.5,36.27,mothbeans
33,53,21,29.83,47.17,6.15,55.31,blackgram
92,42,39,26.0,91.14,6.98,211.89,rice
18,39,34,33.8,66.28,7.49,52.5,mungbean
35,49,26,22.31,22.09,6.82,100.18,kidneybeans
26,37,33,26.21,42.11,7.06,78.22,blackgram
19,40,19,28.87,32.05,6.6,70.7,mungbean
67,59,54,27.52,92.9,6.2,288.28,rice
28,56,30,18.59,50.31,6.88,50.41,lentil
94,71,44,29.0,81.77,6.91,241.1,banana
33,67,33,18.84,42.56,5.6,86.7,kidneybeans
70,44,54,20.12,77.32,5.09,156.11,rice
67,56,60,34.87,66.42,6.63,129.18,papaya
90,48,21,26.1,64.6,6.59,114.39,maize
40,56,23,19.82,24.87,5.59,77.12,kidneybeans
93,75,51,26.07,82.7,6.56,221.59,banana
26,73,23,23.54,24.52,7.76,84.72,chickpea
31,52,22,21.83,31.71,7.24,68.54,chickpea
48,16,54,28.93,65.47,5.94,147.71,mango
74,56,45,32.86,57.5,6.63,47.52,muskmelon
80,49,57,28.14,66.05,7.25,94.75,watermelon
30,63,30,33.35,58.41,6.23,86.8,blackgram
114,71,53,30.36,88.73,7.43,111.03,banana
91,20,39,18.19,88.96,5.3,226.53,coffee
76,43,57,24.54,73.41,5.66,276.47,jute
31,21,39,31.27,94.24,5.85,183.45,coconut
129,39,28,25.63,49.83,6.57,63.1,cotton
25,36,16,30.51,35.34,7.68,38.03,mothbeans
25,66,25,21.29,17.42,6.9,80.25,chickpea
30,59,18,29.72,33.66,6.94,73.03,mungbean
47,66,55,34.77,79.96,7.43,120.14,papaya
39,46,25,27.47,36.48,7.32,67.56,mothbeans
104,44,37,22.94,71.28,6.81,90.83,cotton
30,57,31,30.83,59.21,6.55,78.46,mungbean
81,50,53,30.12,70.18,6.58,42.57,muskmelon
109,52,48,29.56,84.01,6.96,153.23,banana
19,108,168,20.87,86.67,6.91,108.04,apple
92,55,37,23.96,76.15,6.1,216.23,rice
83,58,65,28.24,75.16,6.16,71.89,muskmelon
65,57,50,25.43,90.78,6.0,163.04,rice
27,56,32,32.09,34.22,7.26,80.26,mungbean
91,66,41,24.84,58.22,5.9,53.91,watermelon
101,39,38,27.97,47.33,7.9,137.9,cotton
24,57,41,20.07,29.3,7.18,57.38,chickpea
107,57,68,28.87,67.98,6.45,95.97,watermelon
30,61,38,18.13,31.92,6.53,96.14,kidneybeans
91,50,61,28.05,66.66,5.7,88.3,watermelon
36,29,32,26.48,76.01,6.22,287.2,coconut
28,37,22,20.98,54.64,6.78,67.97,lentil
30,125,114,28.78,66.95,7.22,55.87,grapes
33,31,23,25.64,55.15,6.13,168.12,orange
64,56,18,21.58,74.93,5.8,73.76,maize
65,48,54,21.73,87.46,5.17,157.75,rice
66,53,31,18.24,60.55,5.96,100.31,maize
39,71,31,21.12,27.22,7.33,55.59,chickpea
98,45,59,27.24,78.92,5.14,165.12,rice
27,44,31,33.21,36.71,6.7,48.13,mothbeans
63,49,59,24.18,87.59,6.39,218.18,rice
101,64,64,30.4,73.42,5.88,43.0,watermelon
39,16,43,25.17,83.78,5.79,241.68,coconut
88,49,15,20.94,67.94,5.68,81.04,maize
90,37,30,20.21,64.73,6.08,81.34,maize
16,57,33,22.2,27.5,7.45,49.02,lentil
41,54,31,26.28,56.01,7.96,95.59,blackgram
77,36,22,22.87,70.84,6.02,68.36,maize
88,40,38,20.12,82.01,6.18,208.84,rice
103,40,24,22.58,69.74,5.37,138.61,coffee
29,15,46,30.09,83.64,6.76,290.29,coconut
24,38,35,27.15,22.35,7.19,66.94,mothbeans
27,26,43,31.33,85.7,7.18,172.25,coconut
15,16,34,34.15,67.61,5.91,75.08,pomegranate
90,39,37,25.85,55.73,7.15,67.73,maize
33,51,29,20.31,35.69,7.47,80.77,chickpea
95,59,62,26.31,76.54,6.73,65.72,watermelon
17,51,33,27.28,45.19,5.66,136.12,pigeonpeas
113,69,68,34.0,65.37,6.22,67.9,watermelon
20,37,28,21.04,49.11,7.64,79.05,lentil
104,39,57,26.42,71.14,7.36,51.73,muskmelon
95,55,41,21.37,88.37,6.86,233.51,rice
76,53,59,32.9,93.51,5.78,160.68,jute
11,50,32,18.21,26.47,7.15,71.88,lentil
26,53,16,28.26,48.74,6.3,99.23,blackgram
85,53,58,28.65,77.13,6.75,53.24,muskmelon
74,58,36,26.69,58.11,6.96,116.3,maize
17,53,19,31.65,28.4,6.31,119.03,pigeonpeas
99,39,50,23.05,94.4,6.68,275.75,rice
27,57,21,29.68,41.68,6.82,51.37,mothbeans
72,55,67,33.04,55.52,6.44,65.85,muskmelon
105,62,69,33.68,50.06,6.57,70.93,muskmelon
23,155,179,17.12,56.99,7.4,97.92,grapes
34,25,28,28.86,60.25,7.38,111.71,pomegranate
109,43,65,32.06,68.33,7.14,64.25,watermelon
112,35,31,22.58,85.94,6.85,123.09,coffee
109,60,18,29.54,71.64,6.68,124.66,cotton
114,54,37,24.39,70.21,5.8,71.5,cotton
44,63,23,30.71,66.38,6.01,90.53,blackgram
24,22,21,26.05,57.72,6.9,94.67,pomegranate
34,69,36,18.17,42.46,6.67,99.02,kidneybeans
43,49,41,23.26,32.72,6.07,62.13,chickpea
80,66,62,31.95,85.2,7.21,101.65,papaya
42,70,25,21.05,36.02,7.47,71.69,chickpea
100,62,44,26.78,71.95,5.83,61.08,watermelon
84,36,65,34.11,74.62,6.19,79.9,muskmelon
73,55,15,21.0,64.95,6.57,115.19,maize
97,40,49,31.01,83.05,6.37,178.8,jute
26,41,30,30.13,42.83,6.89,99.74,mungbean
20,57,32,17.15,21.5,7.52,55.48,chickpea
44,72,77,31.84,84.67,6.32,126.36,papaya
87,47,36,31.22,91.05,6.94,274.49,jute
86,49,44,27.89,87.12,5.47,165.27,rice
95,57,60,29.71,61.64,6.56,62.0,muskmelon
80,49,47,21.56,89.45,5.56,153.65,rice
101,30,29,24.54,69.23,5.25,218.9,coffee
100,44,19,29.66,52.63,6.15,98.83,cotton
34,58,28,20.82,36.13,7.34,106.76,pigeonpeas
33,54,20,27.12,31.66,6.64,77.99,blackgram
76,37,59,29.72,77.24,6.54,44.36,muskmelon
33,24,34,29.83,88.69,6.29,181.56,coconut
75,59,53,24.79,78.12,5.31,158.71,rice
20,20,12,26.38,79.92,5.95,154.0,orange
50,34,54,24.37,54.67,5.97,124.73,mango
30,46,56,26.16,64.55,5.68,119.15,mango
87,58,47,27.21,54.84,6.56,72.35,muskmelon
94,59,39,27.41,84.84,5.52,218.87,rice
35,132,117,20.25,76.65,6.61,132.98,apple
33,58,24,26.19,50.5,6.52,62.49,mungbean
70,63,58,26.02,75.07,6.51,175.7,papaya
94,78,37,26.13,75.36,6.98,128.37,banana
23,52,37,30.83,58.72,6.74,54.62,blackgram
94,49,66,25.32,69.32,7.14,67.97,muskmelon
17,103,156,23.5,73.02,6.89,188.54,apple
16,14,31,24.85,92.67,7.5,174.62,coconut
48,72,71,23.89,73.91,7.16,133.73,papaya
26,41,27,27.95,28.56,6.08,91.83,pigeonpeas
105,30,40,26.87,72.33,5.74,158.59,coffee
16,101,119,21.79,66.93,6.26,233.17,apple
19,132,133,17.74,63.94,6.73,249.42,apple
68,39,19,25.33,71.63,6.55,81.53,maize
38,55,33,26.99,41.37,6.43,62.62,mungbean
35,104,175,24.86,62.66,5.94,155.86,apple
22,38,15,28.91,33.09,7.64,79.97,lentil
10,148,114,27.12,60.11,6.67,65.78,grapes
63,53,37,26.57,89.12,5.16,162.73,rice
102,60,50,29.29,68.52,6.31,51.9,watermelon
20,57,33,19.05,53.09,7.65,70.61,lentil
29,108,121,23.35,69.81,6.23,241.17,apple
38,103,140,26.68,77.61,5.6,78.67,grapes
27,68,27,23.58,25.59,7.34,53.82,chickpea
97,40,29,26.24,55.85,6.89,77.84,maize
86,80,69,28.82,91.53,6.63,123.59,banana
15,51,34,20.21,22.55,6.04,73.52,kidneybeans
23,29,43,18.08,84.72,5.46,127.02,orange
25,25,28,29.01,76.34,5.71,152.03,mango
81,50,53,24.28,84.27,7.27,152.61,jute
46,61,49,31.67,75.84,6.62,126.88,papaya
23,134,142,15.76,68.46,7.16,57.88,grapes
14,113,105,26.49,68.66,6.51,90.86,grapes
23,13,35,25.69,76.64,5.69,202.03,coconut
121,51,35,26.09,59.46,7.92,117.21,cotton
74,42,49,21.13,91.04,5.15,298.03,rice
28,47,24,30.74,44.99,7.07,96.35,pigeonpeas
29,54,20,32.49,51.83,6.41,64.6,blackgram
47,64,35,17.53,27.96,6.3,79.5,chickpea
20,48,26,20.05,30.93,6.64,61.71,lentil
29,55,23,18.46,25.71,5.87,84.2,kidneybeans
14,149,148,24.5,70.19,5.66,175.98,apple
24,19,48,30.1,37.27,6.43,66.82,pomegranate
33,25,40,32.36,57.66,7.44,99.98,pomegranate
99,33,23,21.15,61.82,6.37,193.82,coffee
97,65,47,31.24,63.81,6.06,30.72,muskmelon
28,44,17,20.23,29.97,7.28,79.32,pigeonpeas
118,28,32,18.99,71.42,6.54,211.9,coffee
87,29,22,21.23,70.55,5.13,248.18,coffee
29,41,22,25.04,40.27,5.81,86.9,mango
33,21,40,33.55,38.45,5.96,99.62,pomegranate
24,56,16,28.35,22.35,7.95,70.85,mothbeans
21,48,35,33.85,33.47,7.08,95.66,blackgram
96,43,44,20.75,86.57,5.07,219.84,rice
16,49,26,22.28,38.42,7.93,51.98,lentil
32,58,22,28.18,66.99,6.11,74.28,blackgram
32,51,34,33.21,39.83,7.31,74.92,mothbeans
17,131,130,23.97,79.42,6.2,72.61,grapes
115,42,47,31.65,62.28,7.25,57.88,watermelon
36,40,24,33.01,37.21,6.16,93.02,mungbean
130,48,30,30.95,60.38,6.69,114.51,cotton
43,77,68,26.29,71.72,7.11,160.15,papaya
94,47,52,24.21,73.17,5.84,42.63,watermelon
51,32,45,29.02,75.76,6.5,164.18,mango
106,88,67,34.41,76.12,5.76,145.34,banana
15,58,16,19.93,37.67,5.59,101.97,kidneybeans
32,44,33,32.25,34.5,6.61,93.18,mungbean
80,38,48,26.77,50.86,7.36,30.41,muskmelon
38,15,31,26.28,81.38,6.08,185.04,coconut
27,66,34,22.01,43.9,5.8,65.46,kidneybeans
18,12,46,29.54,40.77,6.36,70.11,pomegranate
27,48,33,31.93,69.49,6.45,83.12,blackgram
42,54,37,31.24,35.25,6.62,60.09,blackgram
108,67,46,34.1,74.46,7.46,92.82,watermelon
72,77,65,25.79,90.31,7.21,237.15,banana
31,16,32,24.75,51.36,6.07,117.31,pomegranate
70,45,57,34.33,94.82,7.42,150.89,jute
53,54,66,28.07,84.36,6.23,178.99,papaya
98,24,26,25.49,87.07,5.1,188.13,coffee
12,13,41,25.64,77.54,5.9,266.14,coconut
36,17,13,26.78,61.77,6.68,83.21,orange
16,23,53,27.3,88.66,6.31,251.75,coconut
115,64,68,25.08,57.95,6.49,90.79,watermelon
38,142,175,20.55,78.01,6.97,196.32,apple
74,42,56,26.81,68.54,7.37,175.09,papaya
77,50,65,34.51,69.03,6.53,60.17,muskmelon
109,36,61,27.53,51.21,6.6,76.76,muskmelon
118,47,29,25.16,46.57,7.85,68.67,cotton
15,148,163,17.54,61.96,5.84,62.74,grapes
100,36,25,27.85,83.11,6.93,186.86,coffee
108,20,37,27.29,89.28,6.88,155.35,coffee
17,135,130,23.98,66.12,5.91,57.79,grapes
13,41,32,20.51,27.18,7.41,53.11,lentil
82,57,45,21.07,75.58,6.51,243.05,rice
47,24,25,24.64,52.22,5.82,97.4,mango
30,42,21,22.25,41.94,6.5,76.19,lentil
13,128,115,17.08,79.84,6.87,160.56,apple
28,38,35,27.5,32.93,6.99,75.72,mungbean
38,8,42,26.07,88.86,6.94,171.13,coconut
90,38,58,24.04,91.53,5.64,284.33,rice
93,60,28,19.55,61.81,5.54,114.86,maize
28,22,48,26.42,57.55,7.06,158.4,mango
33,29,20,21.13,43.76,6.84,112.18,pomegranate
129,64,38,31.91,60.61,6.01,104.52,cotton
29,59,18,28.5,47.12,6.51,38.03,lentil
99,40,67,33.93,69.62,7.01,30.27,muskmelon
20,27,39,18.59,50.39,6.15,93.18,orange
15,119,134,21.19,58.42,7.44,57.67,grapes
39,46,21,32.98,31.42,6.6,41.63,mothbeans
81,56,36,29.79,83.49,7.22,164.64,jute
42,60,36,24.89,27.21,6.94,79.47,kidneybeans
19,45,34,23.65,23.01,5.9,60.88,kidneybeans
83,60,52,33.76,79.46,7.0,114.52,banana
95,65,69,28.83,61.8,7.19,65.61,watermelon
27,40,17,28.22,29.7,7.95,72.91,lentil
13,59,34,19.96,33.98,6.2,47.23,lentil
90,49,37,26.04,75.48,6.02,234.81,jute
34,60,28,21.68,45.13,6.74,119.38,pigeonpeas
52,58,72,24.1,68.79,7.02,131.55,papaya
78,53,66,23.04,67.27,7.16,152.87,papaya
34,18,10,24.94,53.51,6.89,107.61,orange
21,57,20,27.21,35.53,7.29,70.0,mungbean
80,54,32,22.01,61.84,7.49,85.57,maize
98,41,57,27.53,78.67,6.04,39.99,muskmelon
48,31,24,31.78,41.25,7.24,93.87,mango
88,53,44,22.35,91.19,6.62,280.06,rice
34,45,31,25.68,65.9,6.24,66.39,blackgram
89,57,48,24.26,77.14,5.89,229.89,rice
73,54,19,25.36,75.8,6.51,60.38,maize
17,127,102,27.81,62.42,6.04,60.34,grapes
26,48,21,19.82,33.54,6.75,69.03,lentil
108,25,36,24.77,80.93,6.07,235.08,coffee
119,55,18,25.3,72.57,7.17,51.34,cotton
90,51,39,24.56,87.07,6.0,224.95,jute
77,53,63,32.28,88.83,6.93,200.41,banana
46,48,49,24.57,75.37,7.23,124.33,mango
86,49,49,29.74,69.91,6.26,83.17,watermelon
14,13,33,19.59,54.86,5.75,108.17,orange
98,59,44,26.08,75.78,6.01,62.81,watermelon
19,48,32,34.89,51.13,6.74,39.76,mothbeans
37,56,20,30.36,51.58,5.89,118.99,pigeonpeas
109,48,19,29.75,52.52,6.33,97.13,cotton
137,63,28,25.97,58.79,5.97,113.63,cotton
21,122,177,19.44,82.65,6.63,139.83,apple
19,59,24,23.1,36.31,6.77,94.62,kidneybeans
134,53,26,27.3,59.92,5.6,139.28,cotton
55,41,54,29.44,45.24,6.89,100.61,mango
89,57,57,26.24,87.84,5.17,174.24,rice
39,130,173,22.07,81.67,5.63,133.0,apple
35,127,134,18.14,62.79,6.57,51.13,grapes
36,124,156,20.57,85.59,5.97,178.55,apple
27,54,24,34.98,40.54,6.56,96.53,blackgram
28,14,31,27.53,60.39,5.73,78.45,pomegranate
58,60,67,23.32,69.85,6.11,107.34,papaya
97,38,38,24.19,56.7,6.1,102.49,maize
18,29,56,24.67,82.92,5.95,211.62,coconut
37,33,27,31.29,74.1,6.02,129.15,mango
15,120,133,18.49,82.91,5.65,152.68,apple
18,133,133,33.95,53.79,7.45,61.53,grapes
30,34,14,21.51,81.31,6.79,143.96,orange
21,23,37,31.14,44.79,6.63,56.17,pomegranate
30,63,38,24.1,40.83,5.92,139.65,pigeonpeas
30,15,22,21.98,65.06,6.77,67.72,pomegranate
73,88,54,30.76,82.06,5.69,215.21,banana
115,89,65,25.21,93.69,6.35,101.4,banana
27,49,25,25.69,23.15,7.2,47.05,mothbeans
30,64,32,25.83,64.52,6.96,53.44,blackgram
22,40,31,34.09,44.81,7.13,93.82,mungbean
50,73,33,23.74,28.02,7.25,53.56,chickpea
43,53,29,27.5,43.73,7.7,77.96,blackgram
89,56,45,30.21,75.69,6.74,151.82,jute
102,39,38,29.17,68.89,6.33,109.27,cotton
43,49,41,33.96,43.32,5.88,124.08,mango
65,60,57,29.71,67.0,7.41,158.88,papaya
24,34,41,30.87,68.66,5.25,138.87,orange
117,60,15,23.46,74.72,6.2,147.55,cotton
21,22,26,32.07,68.86,6.04,84.64,pomegranate
34,160,120,23.74,65.61,6.09,50.76,grapes
120,74,49,26.48,76.43,6.46,155.09,banana
85,48,37,25.1,58.79,6.12,74.91,maize
14,11,44,30.39,70.91,7.47,218.24,coconut
21,49,16,29.26,49.13,7.61,41.22,mothbeans
28,44,52,29.35,51.94,6.78,108.82,mango
32,41,55,26.12,43.9,7.3,114.99,mango
15,126,132,20.76,77.5,6.62,176.48,apple
81,56,52,31.77,64.28,7.49,66.45,muskmelon
22,58,26,20.09,36.36,7.69,63.99,lentil
27,18,24,29.99,53.36,6.78,73.66,pomegranate
72,61,58,29.87,93.6,6.29,204.08,banana
